frequency	power
1418.90575	1.3110870895616245e-06
1418.9086796875	1.3069226838524628e-06
1418.911609375	1.2880622080047033e-06
1418.9145390625	1.276085754398082e-06
1418.91746875	1.2750065252475906e-06
1418.9203984375	1.265480477741221e-06
1418.923328125	1.263016656594118e-06
1418.9262578125	1.2660299262279295e-06
1418.9291875	1.2587643141159788e-06
1418.9321171875	1.2764274401888542e-06
1418.935046875	1.318217641710362e-06
1418.9379765625	1.2964420648131636e-06
1418.94090625	1.2977178585060756e-06
1418.9438359375	1.2983055057702586e-06
1418.946765625	1.3172434591979254e-06
1418.9496953125	1.3475437299348414e-06
1418.952625	1.360233909508679e-06
1418.9555546875	1.381185938953422e-06
1418.958484375	1.4044919680600287e-06
1418.9614140625	1.4223857078832225e-06
1418.96434375	1.4500229781333474e-06
1418.9672734375	1.4830462760073715e-06
1418.970203125	1.5093527281351271e-06
1418.9731328125	1.5555289110125159e-06
1418.9760625	1.5819257441762602e-06
1418.9789921875	1.5957930941112863e-06
1418.981921875	1.6605433756922139e-06
1418.9848515625	1.6903924802136316e-06
1418.98778125	1.750515480125614e-06
1418.9907109375	2.0439463241928024e-06
1418.993640625	1.889851091618766e-06
1418.9965703125	1.8632285900821444e-06
1418.9995	1.9344874999660533e-06
1419.0024296875	1.942982748914801e-06
1419.005359375	1.9921553757740185e-06
1419.0082890625	2.040190565821831e-06
1419.01121875	2.0640741240640637e-06
1419.0141484375	2.14468605008733e-06
1419.017078125	2.174455403292086e-06
1419.0200078125	2.2417154923459748e-06
1419.0229375	2.3199321503852843e-06
1419.0258671875	2.3395425614580745e-06
1419.028796875	2.4526327706553275e-06
1419.0317265625	2.5407443899894133e-06
1419.03465625	2.5103420284722233e-06
1419.0375859375	2.772573679976631e-06
1419.040515625	2.778651150947553e-06
1419.0434453125	3.0857599995215423e-06
1419.046375	5.393347464632825e-06
1419.0493046875	3.5410969303484308e-06
1419.052234375	3.6893222841172246e-06
1419.0551640625	5.015288479626179e-06
1419.05809375	3.2614611882308964e-06
1419.0610234375	3.317938876534754e-06
1419.063953125	3.3211514391950914e-06
1419.0668828125	3.220240159862442e-06
1419.0698125	3.391715381440008e-06
1419.0727421875	3.4083856235156418e-06
1419.075671875	3.4895294902526075e-06
1419.0786015625	3.559205197234405e-06
1419.08153125	3.63593562724418e-06
1419.0844609375	3.685618480631092e-06
1419.087390625	3.7497843550227117e-06
1419.0903203125	3.835797770079807e-06
1419.09325	3.9181159081636e-06
1419.0961796875	3.994943426732789e-06
1419.099109375	4.0622680899105035e-06
1419.1020390625	4.1138246160699055e-06
1419.10496875	4.212178509988007e-06
1419.1078984375	4.327168880990939e-06
1419.110828125	4.421862740855431e-06
1419.1137578125	5.305570084601641e-06
1419.1166875	5.254708412394393e-06
1419.1196171875	4.657677891373169e-06
1419.122546875	5.00343412568327e-06
1419.1254765625	4.898516635876149e-06
1419.12840625	4.938738584314706e-06
1419.1313359375	5.028868372392026e-06
1419.134265625	5.051113475929014e-06
1419.1371953125	5.108246568852337e-06
1419.140125	5.188922841625754e-06
1419.1430546875	5.298568794387393e-06
1419.145984375	5.367333415051689e-06
1419.1489140625	5.45297734788619e-06
1419.15184375	5.545478188651032e-06
1419.1547734375	5.673609166478855e-06
1419.157703125	5.794663138658507e-06
1419.1606328125	5.859981229150435e-06
1419.1635625	5.950913873675745e-06
1419.1664921875	6.066361720513669e-06
1419.169421875	6.13805013927049e-06
1419.1723515625	6.176713213790208e-06
1419.17528125	6.326898756014998e-06
1419.1782109375	6.411636604752857e-06
1419.181140625	6.767171271349071e-06
1419.1840703125	7.2635348260519095e-06
1419.187	6.760518317605602e-06
1419.1899296875	6.853054173916462e-06
1419.192859375	6.926481546543073e-06
1419.1957890625	7.045347956591286e-06
1419.19871875	7.0930118454271e-06
1419.2016484375	7.155930916269426e-06
1419.204578125	7.231750032588025e-06
1419.2075078125	7.340482625295408e-06
1419.2104375	7.408962346744374e-06
1419.2133671875	7.4633121585065965e-06
1419.216296875	7.580349119962193e-06
1419.2192265625	7.668141279282281e-06
1419.22215625	7.811015166225843e-06
1419.2250859375	7.954020475153811e-06
1419.228015625	7.990463473106502e-06
1419.2309453125	8.058093044382986e-06
1419.233875	8.146766958816443e-06
1419.2368046875	8.25454526420799e-06
1419.239734375	8.356325452041347e-06
1419.2426640625	8.49687603476923e-06
1419.24559375	8.524214990757173e-06
1419.2485234375	8.648720267956378e-06
1419.251453125	9.023564416565932e-06
1419.2543828125	8.994878953672014e-06
1419.2573125	8.919901119952556e-06
1419.2602421875	9.055900591192767e-06
1419.263171875	9.140420843323227e-06
1419.2661015625	9.236384357791394e-06
