frequency	power
1418.90575	1.134624881160562e-06
1418.9086796875	1.1282660352662788e-06
1418.911609375	1.1078619195359352e-06
1418.9145390625	1.0960363852063892e-06
1418.91746875	1.0941237178485608e-06
1418.9203984375	1.1004663065250497e-06
1418.923328125	1.0924164826064953e-06
1418.9262578125	1.0944105497401324e-06
1418.9291875	1.0934243164228974e-06
1418.9321171875	1.1056172297685407e-06
1418.935046875	1.1355949141034216e-06
1418.9379765625	1.113789267037646e-06
1418.94090625	1.1106753845524509e-06
1418.9438359375	1.1263351780144149e-06
1418.946765625	1.1403697044443106e-06
1418.9496953125	1.1632901077973656e-06
1418.952625	1.1742482683985145e-06
1418.9555546875	1.2066205385963258e-06
1418.958484375	1.2240623163961573e-06
1418.9614140625	1.242206394636014e-06
1418.96434375	1.2591043514476041e-06
1418.9672734375	1.2808081919502001e-06
1418.970203125	1.3044455045019276e-06
1418.9731328125	1.3290717788549955e-06
1418.9760625	1.3650727055392053e-06
1418.9789921875	1.3893863979319576e-06
1418.981921875	1.460520593354886e-06
1418.9848515625	1.4840562698736903e-06
1418.98778125	1.6260034954029834e-06
1418.9907109375	2.795926548060379e-06
1418.993640625	1.949312263604952e-06
1418.9965703125	1.6272269931505434e-06
1418.9995	1.7754427972249687e-06
1419.0024296875	1.6936882047957624e-06
1419.005359375	1.7167163832709775e-06
1419.0082890625	1.76922344508057e-06
1419.01121875	1.7873608157970011e-06
1419.0141484375	1.8503523051549564e-06
1419.017078125	1.8933433238998987e-06
1419.0200078125	1.9226154108764604e-06
1419.0229375	1.9783186644417583e-06
1419.0258671875	2.0136194507358596e-06
1419.028796875	2.0642596609832253e-06
1419.0317265625	2.1301483457136783e-06
1419.03465625	2.165726300518145e-06
1419.0375859375	2.2932194951863494e-06
1419.040515625	2.3144335727920406e-06
1419.0434453125	2.4406270995314117e-06
1419.046375	3.3633209568506572e-06
1419.0493046875	2.718089945119573e-06
1419.052234375	2.7792383434643853e-06
1419.0551640625	3.3139227753054e-06
1419.05809375	2.9201464712969027e-06
1419.0610234375	2.9686373181903036e-06
1419.063953125	2.7749756554840133e-06
1419.0668828125	2.7662532602334977e-06
1419.0698125	2.8789702355425106e-06
