frequency	power
1418.90575	4.428802412803634e-06
1418.9086796875	4.360358161648037e-06
1418.911609375	4.348024049249943e-06
1418.9145390625	4.329014700488187e-06
1418.91746875	4.265799361746758e-06
1418.9203984375	4.257533873897046e-06
1418.923328125	4.2684459913289174e-06
1418.9262578125	4.196999043415417e-06
1418.9291875	4.223590622132178e-06
1418.9321171875	4.256938836988411e-06
1418.935046875	4.270359568181448e-06
1418.9379765625	4.319167601352092e-06
1418.94090625	4.3462973735586274e-06
1418.9438359375	4.380910468171351e-06
1418.946765625	4.434275979292579e-06
1418.9496953125	4.472233740671072e-06
1418.952625	4.515550699579762e-06
1418.9555546875	4.6461996134894434e-06
1418.958484375	4.683720362663735e-06
1418.9614140625	4.733836249215528e-06
1418.96434375	4.798362851943239e-06
1418.9672734375	4.954592441208661e-06
1418.970203125	5.041725671617314e-06
1418.9731328125	5.168351890461054e-06
1418.9760625	5.258398232399486e-06
1418.9789921875	5.35057165507169e-06
1418.981921875	5.5568868901900714e-06
1418.9848515625	5.672256065736292e-06
1418.98778125	5.876631803403143e-06
1418.9907109375	7.5718819516623626e-06
1418.993640625	6.6516781771497335e-06
1418.9965703125	6.210147603269434e-06
1418.9995	6.479249123003683e-06
1419.0024296875	6.423684681067243e-06
1419.005359375	6.639967750743381e-06
1419.0082890625	6.836815373389982e-06
1419.01121875	6.973630206630332e-06
1419.0141484375	7.090775852702791e-06
1419.017078125	7.2780017035256606e-06
1419.0200078125	7.3897513175325e-06
1419.0229375	7.610317425132962e-06
1419.0258671875	7.790157269482734e-06
1419.028796875	8.103060736175394e-06
1419.0317265625	8.253712621808518e-06
1419.03465625	8.391331903112587e-06
1419.0375859375	8.692302799317986e-06
1419.040515625	8.928123861551285e-06
1419.0434453125	9.10142443899531e-06
1419.046375	9.834091542870738e-06
1419.0493046875	9.654886525822803e-06
1419.052234375	9.783195309864823e-06
1419.0551640625	1.0458577889949083e-05
1419.05809375	1.0832512998604216e-05
1419.0610234375	1.0927712082775543e-05
1419.063953125	1.060680460795993e-05
1419.0668828125	1.0772514542622957e-05
1419.0698125	1.107131220123847e-05
1419.0727421875	1.1339890079398174e-05
1419.075671875	1.1523952707648277e-05
1419.0786015625	1.17415747808991e-05
1419.08153125	1.2049464203300886e-05
1419.0844609375	1.2285769571462879e-05
1419.087390625	1.2423895896063186e-05
1419.0903203125	1.2678786333708558e-05
1419.09325	1.3006276276428252e-05
1419.0961796875	1.3454851796268485e-05
1419.099109375	1.3630875400849618e-05
1419.1020390625	1.3911390851717442e-05
1419.10496875	1.4094026482780464e-05
1419.1078984375	1.442486245650798e-05
1419.110828125	1.4799276868870948e-05
1419.1137578125	1.5183293726295233e-05
1419.1166875	1.5442482435901184e-05
1419.1196171875	1.5578278180328198e-05
1419.122546875	1.589825751580065e-05
1419.1254765625	1.6194101590372156e-05
1419.12840625	1.682815855019726e-05
1419.1313359375	1.6722623513487633e-05
1419.134265625	1.700353459455073e-05
1419.1371953125	1.727299877529731e-05
1419.140125	1.7561738786753267e-05
1419.1430546875	1.7927827684616204e-05
1419.145984375	1.823616366891656e-05
1419.1489140625	1.8459420061844867e-05
1419.15184375	1.868182789621642e-05
1419.1547734375	1.894646447908599e-05
1419.157703125	1.956728101504268e-05
1419.1606328125	1.9791350496234372e-05
1419.1635625	2.0147243048995733e-05
1419.1664921875	2.03890504053561e-05
1419.169421875	2.0642270101234317e-05
1419.1723515625	2.1040908904979005e-05
1419.17528125	2.1254188141028862e-05
1419.1782109375	2.1387280867202207e-05
1419.181140625	2.1864150767214596e-05
1419.1840703125	2.23632414417807e-05
1419.187	2.237020180473337e-05
1419.1899296875	2.2625355995842256e-05
1419.192859375	2.3039078769215848e-05
1419.1957890625	2.3783117285347544e-05
1419.19871875	2.4110302547342144e-05
1419.2016484375	2.4327439859916922e-05
1419.204578125	2.4369608581764624e-05
1419.2075078125	2.4688626581337303e-05
1419.2104375	2.4900178686948493e-05
1419.2133671875	2.5348512281198055e-05
1419.216296875	2.554824823164381e-05
1419.2192265625	2.5776796064747032e-05
1419.22215625	2.6244772016070783e-05
1419.2250859375	2.658371795405401e-05
1419.228015625	2.6628576961229555e-05
1419.2309453125	2.7383884116716217e-05
1419.233875	2.7651983145915437e-05
1419.2368046875	2.764197051874362e-05
1419.239734375	2.8005862986901775e-05
1419.2426640625	2.8535721867228858e-05
1419.24559375	2.883474007830955e-05
1419.2485234375	2.9338529202505015e-05
1419.251453125	2.963158294733148e-05
1419.2543828125	2.983437298098579e-05
1419.2573125	3.008443945873296e-05
1419.2602421875	3.024531906703487e-05
1419.263171875	3.05106023006374e-05
1419.2661015625	3.08987800963223e-05
1419.26903125	3.135945735266432e-05
1419.2719609375	3.1772353395354e-05
1419.274890625	3.2185327654588036e-05
1419.2778203125	3.245077095925808e-05
1419.28075	3.244782783440314e-05
1419.2836796875	3.2862237276276574e-05
1419.286609375	3.3046369935618713e-05
1419.2895390625	3.363642463227734e-05
1419.29246875	3.3721824365784414e-05
1419.2953984375	3.412098158150911e-05
1419.298328125	3.456766535236966e-05
1419.3012578125	3.4722725104074925e-05
1419.3041875	3.4671005778363906e-05
1419.3071171875	3.503170773910824e-05
1419.310046875	3.5336805012775585e-05
1419.3129765625	3.603380173444748e-05
1419.31590625	3.697488864418119e-05
1419.3188359375	3.645963079179637e-05
1419.321765625	3.6633326089940965e-05
1419.3246953125	3.722619294421747e-05
1419.327625	3.732262848643586e-05
1419.3305546875	3.7755562516395e-05
1419.333484375	3.76634779968299e-05
1419.3364140625	3.8207221223274246e-05
1419.33934375	3.850644134217873e-05
1419.3422734375	3.864823156618513e-05
1419.345203125	3.876760456478223e-05
1419.3481328125	3.876339724229183e-05
1419.3510625	3.923551230400335e-05
1419.3539921875	3.971947808167897e-05
