source_name,ra_j2000_deg,dec_j2000_deg,ra_b1950_hms,ra_b1950_err_s,dec_b1950_dms,dec_b1950_err_arcmin,flux_178mhz_jy,flux_178mhz_note,diam_limit,diam_value,diam_unit,diam_arcmin,ra_icrs_hms,dec_icrs_dms,vizier_recno
3C2,1.59482,-0.10499,00 03 49.0,5,-00 23.0,7,15,,<,5,"""",0.083333333,00 06 22.8,-00 06 18,1
3C6.1,4.29387,79.67766,00 14 12.0,30,+79 24.0,45,16,,,2.5,',2.5,00 17 10.5,+79 40 40,2
3C9,5.10546,15.66075,00 17 50.0,5,+15 23.0,8,15,,<,3,',3,00 20 25.3,+15 39 39,3
3C10,6.40123,64.12177,00 22 48.1,2,+63 50.7,2,134,,,6.6,',6.6,00 25 36.3,+64 07 18,4
3C11.1,7.48511,63.67617,00 27 06.0,18,+63 24.0,45,11.5,,<,2.5,',2.5,00 29 56.4,+63 40 34,5
3C13,8.56901,39.32548,00 31 35.0,5,+39 03.0,4,10.5,*,<,20,"""",0.33333333,00 34 16.6,+39 19 32,6
3C14,9.03226,18.62018,00 33 30.6,3,+18 20.7,3,9.5,*,<,20,"""",0.33333333,00 36 07.7,+18 37 13,7
3C14.1,9.11303,59.77508,00 33 36.0,18,+59 30.0,45,14,,<,2,',2,00 36 27.1,+59 46 30,8
3C15,9.27713,-1.24165,00 34 33.0,6,-01 31.0,5,14.5,*,<,40,"""",0.66666667,00 37 06.5,-01 14 30,9
3C16,9.42581,13.10822,00 35 06.0,6,+12 50.0,16,11.5,*,<,1,',1,00 37 42.2,+13 06 30,10
3C17,9.60567,-1.9919,00 35 52.0,5,-02 16.0,14,21,*,<,40,"""",0.66666667,00 38 25.4,-01 59 31,11
3C19,10.23011,33.17422,00 38 14.0,6,+32 54.0,4,9,*,<,12,"""",0.2,00 40 55.2,+33 10 27,12
3C18,10.21163,10.17426,00 38 15.0,7,+09 54.0,7,23,*,<,40,"""",0.66666667,00 40 50.8,+10 10 27,13
3C20,10.78791,52.0404,00 40 19.9,1,+51 46.0,1.5,41,*,<,1,',1,00 43 09.1,+52 02 25,14
3C21.1,11.39686,68.07319,00 42 30.0,18,+67 48.0,45,9,,<,3,',3,00 45 35.2,+68 04 24,15
3C22,12.74044,51.21686,00 48 06.2,3,+50 56.7,3,14.5,,<,2,',2,00 50 57.7,+51 13 01,16
3C27,13.98033,68.48721,00 52 42.0,3,+68 13.0,10,24,,<,2,',2,00 55 55.3,+68 29 14,17
3C28,13.9622,26.4022,00 53 09.4,1,+26 07.9,1,14,,<,3,',3,00 55 50.9,+26 24 08,18
3C29,14.40145,-1.31328,00 55 03.0,4,-01 35.0,10,15,,<,3,',3,00 57 36.3,-01 18 48,19
3C31,16.86562,32.39187,01 04 42.0,3,+32 07.5,3,15.5,,,2.5,',2.5,01 07 27.7,+32 23 31,20
3C33,17.21672,13.33805,01 06 13.7,1,+13 04.3,1.5,49,,,2,',2,01 08 52.0,+13 20 17,21
3C33.1,17.50825,73.16608,01 06 24.0,18,+72 54.0,60,12,,<,2.5,',2.5,01 10 02.0,+73 09 58,22
3C33.2,17.58218,69.36594,01 06 54.0,18,+69 06.0,60,9,,<,4,',4,01 10 19.7,+69 21 57,23
3C34,17.57646,31.76753,01 07 32.4,3,+31 30.1,3,11,,<,2.5,',2.5,01 10 18.4,+31 46 03,24
3C35,18.01838,49.4369,01 09 07.1,3,+49 10.3,3,12.5,,,3.2,',3.2,01 12 04.4,+49 26 13,25
3C36,19.54208,45.64623,01 15 14.0,5,+45 23.0,6,9.5,,<,4,',4,01 18 10.1,+45 38 46,26
3C40,21.53401,-1.27379,01 23 35.0,10,-01 32.0,9,24,,,5,',5,01 26 08.2,-01 16 26,27
3C41,21.687,33.19428,01 23 55.3,3,+32 56.1,3,10,,<,3,',3,01 26 44.9,+33 11 39,28
3C42,22.13024,29.05849,01 25 43.8,3,+28 48.0,3,11.5,*,<,2.5,',2.5,01 28 31.3,+29 03 31,29
3C43,22.49976,23.68448,01 27 15.2,3,+23 25.6,3,11.5,,<,3,',3,01 29 59.9,+23 41 04,30
3C44,22.84575,6.42884,01 28 46.4,5,+06 10.3,5,11,,,2,',2,01 31 23.0,+06 25 44,31
3C46,23.8852,37.93855,01 32 38.0,5,+37 41.0,6,9.5,,,2.5,',2.5,01 35 32.4,+37 56 19,32
3C47,24.10372,20.94811,01 33 40.9,3,+20 41.6,3,20,,<,1.6,',1.6,01 36 24.9,+20 56 53,33
3C48,24.41896,33.13417,01 34 49.1,0.5,+32 52.8,0.75,47,*,<,1,"""",0.016666667,01 37 40.6,+33 08 03,34
3C49,25.30312,14.05237,01 38 32.0,5,+13 48.0,7,11.5,*,<,4,"""",0.066666667,01 41 12.7,+14 03 09,35
3C52,27.13599,53.60525,01 45 18.3,3,+53 21.4,3,10,,<,3,',3,01 48 32.6,+53 36 19,36
3C54,28.88284,43.78961,01 52 27.7,3,+43 32.7,3,10,*,<,12,"""",0.2,01 55 31.9,+43 47 23,37
3C55,29.29948,28.8486,01 54 20.4,3,+28 36.3,3,21,,<,2.5,',2.5,01 57 11.9,+28 50 55,38
3C58,31.36455,64.87216,02 01 41.0,5,+64 38.0,15,24,,,4.5,',4.5,02 05 27.5,+64 52 20,39
3C61.1,35.95691,86.22279,02 12 00.0,90,+85 59.6,5,29,,<,1.5,',1.5,02 23 49.7,+86 13 22,40
3C63,35.21973,-2.00499,02 18 20.4,1,-02 14.0,2,15,*,<,40,"""",0.66666667,02 20 52.7,-02 00 18,41
3C66,35.83418,43.05677,02 20 10.4,1.5,+42 49.8,2,33,,,3.3,',3.3,02 23 20.2,+43 03 24,42
3C65,35.93389,40.01981,02 20 37.9,3,+39 47.6,3,27,,,3.7,',3.7,02 23 44.1,+40 01 11,43
3C67,36.05224,27.83942,02 21 18.3,3,+27 36.8,3,10,,<,3,',3,02 24 12.5,+27 50 22,44
3C68.1,38.12907,34.72009,02 29 29.0,5,+34 30.0,18,17,,<,2.5,',2.5,02 32 31.0,+34 43 12,45
3C68.2,38.59677,31.55201,02 31 24.2,3,+31 20.0,3,12,,<,3,',3,02 34 23.2,+31 33 07,46
