RAJ2000,DEJ2000,Vmag,
4.96E-04,1.08897778,8.545,
0.0046375,-19.49893333,9.265,
0.005025,38.85943611,6.615,
0.0089375,-51.89344722,8.057,
0.009975,-40.59116111,8.67,
0.01870833,3.94633333,12.31,
0.02183333,20.03610278,9.64,
0.02733333,25.88651111,11.6,
0.03534167,36.585925,8.593,
0.036775,-50.86693889,8.6,
0.037575,46.94025278,7.3,
0.04093333,-35.96027778,8.55,
0.0417125,-22.59476667,8.82,
0.04850417,-0.36039167,7.25,
0.050375,50.79116944,8.7,
0.05192917,-54.91438611,11.708,
0.0513125,-40.19249167,8.132,
0.05284167,-4.05369167,11.03,
0.05340417,38.30400278,6.535,
0.06312917,23.52922778,8.511,
0.06640833,8.00719167,7.56,
0.07014167,-49.35228611,8.8,
0.07463333,13.31231667,7.565,
0.0765875,-23.45259722,9.3,
0.07982917,-44.29056389,6.279,
0.08391667,-13.3935,8.8,
0.0861,-41.29779444,8.9,
0.08727917,-43.36185278,8.2,
0.0923375,-49.107925,9.4,
0.0961,42.14140278,7.8,
0.09809167,2.67541111,7.69,
0.09844167,51.93955556,8.9,
0.09919167,-10.46235833,8.112,
0.09957917,26.91804722,6.46,
0.102875,-14.49044444,9.08,
0.10359583,12.26719167,7.5,
0.10535417,-47.17966111,10,
0.11295417,-79.06203889,8.7,
0.112275,-16.69700278,7.462,
0.99165417,20.95358611,8.23,
0.12008333,67.21630556,9,
0.1166,54.30211944,9,
0.1253875,25.844625,8.198,
0.12884583,59.55968333,6.203,
0.13278333,-3.30631944,7.91,
0.13317083,-72.20286944,9.6,
0.13460417,-25.62218889,8.64,
0.13512083,-56.83553889,10.78,
0.1355,-40.69054167,7.4,
0.13949583,16.669125,9.55,
0.14339167,-53.09761389,6.492,
0.143225,1.06599167,8.9,
0.14674167,-77.02013889,8.5,
0.14730417,-29.26323333,10.74,
0.152625,17.96877778,10.57,
0.15866667,-66.68258333,7.403,
0.16289583,0.22289444,8,
0.16783333,-69.67605,8.2,
0.17335417,62.17584444,7.049,
0.174525,55.72248333,7.9,
0.17544583,-64.46590278,8.3,
0.17644583,53.82216667,8.7,
0.18004583,-45.42274444,8.1,
0.182125,45.25348056,6.365,
0.1845,-27.90758611,8.17,
0.18641667,-54.83066944,10.998,
0.18807083,-72.31826667,8.554,
