UT	type	channel	obs_lat [deg]	obs_lon [deg]	alt [deg]	az [deg]	l [deg]	b [deg]	fcen [MHz]	fsample [MHz]	ADC gain	n_obs	t_exp [s]	filename
2026-05-06T04:23:40	gnd	1	36.36944444	127.36416667	NaN	NaN	NaN	NaN	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-23-40_26.2s_gnd.csv
2026-05-06T04:24:20	sky	1	36.36944444	127.36416667	85.80	130.00	162.69	-14.11	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-24-20_163_-14_26.2s_sky.csv
2026-05-06T04:35:33	gnd	1	36.36944444	127.36416667	NaN	NaN	NaN	NaN	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-35-33_26.2s_gnd.csv
2026-05-06T04:36:21	sky	1	36.36944444	127.36416667	47.40	98.00	195.19	12.19	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-36-21_195_12_26.2s_sky.csv
2026-05-06T04:38:34	sky	1	36.36944444	127.36416667	47.40	96.00	194.61	13.76	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-38-34_195_14_26.2s_sky.csv
2026-05-06T04:41:57	sky	1	36.36944444	127.36416667	47.10	106.00	198.89	8.90	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-41-57_199_9_26.2s_sky.csv
2026-05-06T04:44:06	sky	1	36.36944444	127.36416667	47.00	112.00	201.01	5.74	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-44-06_201_6_26.2s_sky.csv
2026-05-06T04:44:59	sky	1	36.36944444	127.36416667	46.70	124.00	204.09	-1.71	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-44-59_204_-2_26.2s_sky.csv
2026-05-06T04:46:54	sky	1	36.36944444	127.36416667	46.60	140.00	206.16	-12.10	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-46-54_206_-12_26.2s_sky.csv
2026-05-06T04:48:53	sky	1	36.36944444	127.36416667	46.40	149.00	206.63	-17.85	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-48-53_207_-18_26.2s_sky.csv
2026-05-06T04:51:28	gnd	1	36.36944444	127.36416667	NaN	NaN	NaN	NaN	1420.406	3.000	50.000	300	26.214400	2026-05-06T04-51-28_26.2s_gnd.csv
